year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by
2022,36109,1,42,42,2,3,0.00233293371275067,18440.599609375,429.6449890136719,1.0703699588775637,1893.3399658203125,NA,NA,NA,NA,1
2022,36109,1,42,42,2,4,1.369218953186646e-4,1155.77001953125,19.660200119018555,1.0703699588775637,1893.3399658203125,NA,NA,NA,NA,1
2022,36109,1,42,42,2,5,0.00229154480621218,12419,513.62799072265625,1.0703699588775637,1893.3399658203125,NA,NA,NA,NA,1
2022,36109,1,42,46,1,1,2.2567597625311464e-5,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,42,46,1,2,0,0,0,0.00476848985999822,8.827750205993652,NA,NA,NA,NA,1
2022,36109,1,42,46,1,3,1.6097104889922775e-5,85.9801025390625,2.0032401084899902,0.00476848985999822,8.827750205993652,NA,NA,NA,NA,1
2022,36109,1,42,46,1,4,1.033627654578595e-6,5.388800144195557,0.09166649729013444,0.00476848985999822,8.827750205993652,NA,NA,NA,NA,1
2022,36109,1,42,46,1,5,1.8448323316988535e-5,57.90420150756836,2.3948099613189697,0.00476848985999822,8.827750205993652,NA,NA,NA,NA,1
2022,36109,1,42,46,2,1,0.00331241404637694,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,42,46,2,2,0,0,0,2.219249963760376,4361.330078125,NA,NA,NA,NA,1
2022,36109,1,42,46,2,3,0.00589329749345779,42478.3984375,989.6929931640624,2.219249963760376,4361.330078125,NA,NA,NA,NA,1
2022,36109,1,42,46,2,4,3.0570526723749936e-4,2662.330078125,45.287601470947266,2.219249963760376,4361.330078125,NA,NA,NA,NA,1
2022,36109,1,42,46,2,5,0.00607699761167168,28607.5,1183.1500244140625,2.219249963760376,4361.330078125,NA,NA,NA,NA,1
2022,36109,1,42,47,1,1,7.495564204873517e-5,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,42,47,1,2,0,0,0,0.0135666998103261,26.826099395751953,NA,NA,NA,NA,1
2022,36109,1,42,47,1,3,1.1467377771623433e-4,261.27899169921875,6.087460041046143,0.0135666998103261,26.826099395751953,NA,NA,NA,NA,1
2022,36109,1,42,47,1,4,9.469255928706843e-6,16.375600814819336,0.27855899930000305,0.0135666998103261,26.826099395751953,NA,NA,NA,NA,1
2022,36109,1,42,47,1,5,8.997348049888387e-5,175.96099853515625,7.277400016784668,0.0135666998103261,26.826099395751953,NA,NA,NA,NA,1
2022,36109,1,42,48,2,1,0.02589679509401321,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,42,48,2,2,0,0,0,16.572799682617188,33961.69921875,NA,NA,NA,NA,1
2022,36109,1,42,48,2,3,0.03672965988516807,330779,7706.740234375,16.572799682617188,33961.69921875,NA,NA,NA,NA,1
2022,36109,1,42,48,2,4,0.00183977838605642,20731.5,352.6549987792969,16.572799682617188,33961.69921875,NA,NA,NA,NA,1
2022,36109,1,42,48,2,5,0.04045240581035614,222766,9213.1796875,16.572799682617188,33961.69921875,NA,NA,NA,NA,1
2022,36109,1,42,48,3,1,1.7637114524841309,NA,NA,NA,NA,NA,NA,NA,NA,1
