MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,zoneID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,pollutantID,processID,temperature,relHumidity,ratePerStart
moves_anywhere,1,2025,0,0,0,361090,32,30,,2,0,1,2,50.64447784423828,66.76747131347656,1.360670921712881e-6
moves_anywhere,1,2025,0,0,0,361090,32,41,,2,0,1,2,50.64447784423828,66.76747131347656,6.324323180706415e-7
moves_anywhere,1,2025,0,0,0,361090,41,42,,2,0,1,2,50.64447784423828,66.76747131347656,5.063686785433674e-7
moves_anywhere,1,2025,0,0,0,361090,41,46,,2,0,1,2,50.64447784423828,66.76747131347656,4.969957672074088e-7
moves_anywhere,1,2025,0,0,0,361090,41,47,,2,0,1,2,50.64447784423828,66.76747131347656,4.923792857880471e-7
moves_anywhere,1,2025,0,0,0,361090,42,42,,2,0,1,2,50.64447784423828,66.76747131347656,5.018304705117771e-7
moves_anywhere,1,2025,0,0,0,361090,42,46,,2,0,1,2,50.64447784423828,66.76747131347656,5.033472803006589e-7
moves_anywhere,1,2025,0,0,0,361090,42,48,,2,0,1,2,50.64447784423828,66.76747131347656,4.946666081195872e-7
moves_anywhere,1,2025,0,0,0,361090,43,41,,2,0,1,2,50.64447784423828,66.76747131347656,5.251752668300469e-7
moves_anywhere,1,2025,0,0,0,361090,43,42,,2,0,1,2,50.64447784423828,66.76747131347656,5.211209099797998e-7
moves_anywhere,1,2025,0,0,0,361090,43,46,,2,0,1,2,50.64447784423828,66.76747131347656,5.337203674571356e-7
moves_anywhere,1,2025,0,0,0,361090,43,47,,2,0,1,2,50.64447784423828,66.76747131347656,5.190728415982448e-7
moves_anywhere,1,2025,0,0,0,361090,51,42,,2,0,1,2,50.64447784423828,66.76747131347656,6.667714842478745e-7
moves_anywhere,1,2025,0,0,0,361090,51,46,,2,0,1,2,50.64447784423828,66.76747131347656,6.799319862693665e-7
moves_anywhere,1,2025,0,0,0,361090,51,47,,2,0,1,2,50.64447784423828,66.76747131347656,6.48309992357099e-7
moves_anywhere,1,2025,0,0,0,361090,52,41,,2,0,1,2,50.64447784423828,66.76747131347656,4.3507122882147087e-7
moves_anywhere,1,2025,0,0,0,361090,52,42,,2,0,1,2,50.64447784423828,66.76747131347656,4.3510428326953843e-7
moves_anywhere,1,2025,0,0,0,361090,52,46,,2,0,1,2,50.64447784423828,66.76747131347656,4.3977146901852393e-7
moves_anywhere,1,2025,0,0,0,361090,52,47,,2,0,1,2,50.64447784423828,66.76747131347656,4.3578990016612806e-7
moves_anywhere,1,2025,0,0,0,361090,53,41,,2,0,1,2,50.64447784423828,66.76747131347656,4.621219602540805e-7
moves_anywhere,1,2025,0,0,0,361090,53,42,,2,0,1,2,50.64447784423828,66.76747131347656,4.6210098503252084e-7
moves_anywhere,1,2025,0,0,0,361090,53,46,,2,0,1,2,50.64447784423828,66.76747131347656,4.7307341333180375e-7
moves_anywhere,1,2025,0,0,0,361090,53,47,,2,0,1,2,50.64447784423828,66.76747131347656,4.649063782835583e-7
moves_anywhere,1,2025,0,0,0,361090,54,41,,2,0,1,2,50.64447784423828,66.76747131347656,6.238882974685112e-7
moves_anywhere,1,2025,0,0,0,361090,54,42,,2,0,1,2,50.64447784423828,66.76747131347656,6.62610261770169e-7
moves_anywhere,1,2025,0,0,0,361090,54,46,,2,0,1,2,50.64447784423828,66.76747131347656,6.34409900612809e-7
moves_anywhere,1,2025,0,0,0,361090,54,47,,2,0,1,2,50.64447784423828,66.76747131347656,6.360754696288495e-7
moves_anywhere,1,2025,0,0,0,361090,61,46,,2,0,1,2,50.64447784423828,66.76747131347656,4.7240538947335153e-7
moves_anywhere,1,2025,0,0,0,361090,61,47,,2,0,1,2,50.64447784423828,66.76747131347656,4.6356376515177544e-7
moves_anywhere,1,2025,0,0,0,361090,61,49,,2,0,1,2,50.64447784423828,66.76747131347656,4.5835093942514504e-7
moves_anywhere,1,2025,0,0,0,361090,62,46,,2,0,1,2,50.64447784423828,66.76747131347656,1.0491731927686487e-6
moves_anywhere,1,2025,0,0,0,361090,62,47,,2,0,1,2,50.64447784423828,66.76747131347656,9.604008255337249e-7
moves_anywhere,1,2025,0,0,0,361090,62,49,,2,0,1,2,50.64447784423828,66.76747131347656,9.10569667667005e-7
moves_anywhere,1,2025,0,0,0,361090,41,47,,3,0,1,2,50.64447784423828,66.76747131347656,4.866693075200601e-7
moves_anywhere,1,2025,0,0,0,361090,42,48,,3,0,1,2,50.64447784423828,66.76747131347656,4.866693075200601e-7
moves_anywhere,1,2025,0,0,0,361090,43,47,,3,0,1,2,50.64447784423828,66.76747131347656,5.104395199850842e-7
moves_anywhere,1,2025,0,0,0,361090,51,47,,3,0,1,2,50.64447784423828,66.76747131347656,6.273496069297835e-7
moves_anywhere,1,2025,0,0,0,361090,52,47,,3,0,1,2,50.64447784423828,66.76747131347656,4.343492037151009e-7
moves_anywhere,1,2025,0,0,0,361090,53,47,,3,0,1,2,50.64447784423828,66.76747131347656,4.609314316894597e-7
moves_anywhere,1,2025,0,0,0,361090,54,47,,3,0,1,2,50.64447784423828,66.76747131347656,6.22297704921948e-7
moves_anywhere,1,2025,0,0,0,361090,61,47,,3,0,1,2,50.64447784423828,66.76747131347656,4.5835093942514504e-7
moves_anywhere,1,2025,0,0,0,361090,62,47,,3,0,1,2,50.64447784423828,66.76747131347656,9.10569667667005e-7
moves_anywhere,1,2025,0,0,0,361090,21,20,,5,0,1,2,50.64447784423828,66.76747131347656,5.778226750408066e-7
moves_anywhere,1,2025,0,0,0,361090,31,30,,5,0,1,2,50.64447784423828,66.76747131347656,6.117783186709858e-7
moves_anywhere,1,2025,0,0,0,361090,32,30,,5,0,1,2,50.64447784423828,66.76747131347656,5.179055051485193e-7
moves_anywhere,1,2025,0,0,0,361090,21,20,,9,0,1,2,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,31,30,,9,0,1,2,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,32,30,,9,0,1,2,50.64447784423828,66.76747131347656,0
moves_anywhere,1,2025,0,0,0,361090,11,10,,1,0,2,2,50.64447784423828,66.76747131347656,6.6891002461488824e-6
