sourceTypeID,monthID,roadTypeID,dayID,dayVMTFraction,FIP
32,5,4,5,0.762365,36085
32,5,5,2,0.237635,36085
32,5,5,5,0.762365,36085
32,6,1,2,0.237635,36085
32,6,1,5,0.762365,36085
32,6,2,2,0.27882,36085
32,6,2,5,0.72118,36085
32,6,3,2,0.27882,36085
32,6,3,5,0.72118,36085
32,6,4,2,0.237635,36085
32,6,4,5,0.762365,36085
32,6,5,2,0.237635,36085
32,6,5,5,0.762365,36085
32,7,1,2,0.237635,36085
32,7,1,5,0.762365,36085
32,7,2,2,0.27882,36085
32,7,2,5,0.72118,36085
32,7,3,2,0.27882,36085
32,7,3,5,0.72118,36085
32,7,4,2,0.237635,36085
32,7,4,5,0.762365,36085
32,7,5,2,0.237635,36085
32,7,5,5,0.762365,36085
32,8,1,2,0.237635,36085
32,8,1,5,0.762365,36085
32,8,2,2,0.27882,36085
32,8,2,5,0.72118,36085
32,8,3,2,0.27882,36085
32,8,3,5,0.72118,36085
32,8,4,2,0.237635,36085
32,8,4,5,0.762365,36085
32,8,5,2,0.237635,36085
32,8,5,5,0.762365,36085
32,9,1,2,0.237635,36085
32,9,1,5,0.762365,36085
32,9,2,2,0.27882,36085
32,9,2,5,0.72118,36085
32,9,3,2,0.27882,36085
32,9,3,5,0.72118,36085
32,9,4,2,0.237635,36085
32,9,4,5,0.762365,36085
32,9,5,2,0.237635,36085
32,9,5,5,0.762365,36085
32,10,1,2,0.237635,36085
32,10,1,5,0.762365,36085
32,10,2,2,0.27882,36085
32,10,2,5,0.72118,36085
32,10,3,2,0.27882,36085
32,10,3,5,0.72118,36085
32,10,4,2,0.237635,36085
32,10,4,5,0.762365,36085
32,10,5,2,0.237635,36085
32,10,5,5,0.762365,36085
32,11,1,2,0.237635,36085
32,11,1,5,0.762365,36085
32,11,2,2,0.27882,36085
32,11,2,5,0.72118,36085
32,11,3,2,0.27882,36085
32,11,3,5,0.72118,36085
32,11,4,2,0.237635,36085
32,11,4,5,0.762365,36085
32,11,5,2,0.237635,36085
32,11,5,5,0.762365,36085
32,12,1,2,0.237635,36085
32,12,1,5,0.762365,36085
32,12,2,2,0.27882,36085
32,12,2,5,0.72118,36085
32,12,3,2,0.27882,36085
32,12,3,5,0.72118,36085
32,12,4,2,0.237635,36085
32,12,4,5,0.762365,36085
32,12,5,2,0.237635,36085
32,12,5,5,0.762365,36085
41,1,1,2,0.237635,36085
41,1,1,5,0.762365,36085
41,1,2,2,0.27882,36085
41,1,2,5,0.72118,36085
41,1,3,2,0.27882,36085
41,1,3,5,0.72118,36085
41,1,4,2,0.237635,36085
41,1,4,5,0.762365,36085
41,1,5,2,0.237635,36085
41,1,5,5,0.762365,36085
41,2,1,2,0.237635,36085
41,2,1,5,0.762365,36085
41,2,2,2,0.27882,36085
41,2,2,5,0.72118,36085
41,2,3,2,0.27882,36085
41,2,3,5,0.72118,36085
41,2,4,2,0.237635,36085
41,2,4,5,0.762365,36085
41,2,5,2,0.237635,36085
41,2,5,5,0.762365,36085
41,3,1,2,0.237635,36085
41,3,1,5,0.762365,36085
41,3,2,2,0.27882,36085
41,3,2,5,0.72118,36085
